1up = Life + Mushroom
Airplane = Metal + Bird
Alcoholic = Man + Alcohol
Algae = Life + Water
Alien = Star + Life
Aluminium = Airplane + Metal
Ambulance = Hospital + Car
Aquarium = Glass + Fish
Arable = Earth + Tool
Arms = Metal + Tool
Ash = Fire + Tree
Ashtray = Ash + Glass
Assassin = Man + Poisoned Weapons
Australia = Kangaroo + Country
Avian Flu = Bird + Flu
Alcohol = Fire + Water
Albert Einstein = Scientist + Energy
Baby = Man + Sex
Baby = Woman + Sex
Bacon = Fire + Pig
Bacteria = Life + Swamp
Bar = Brick House + Beer
Barbeque = Fire + Meat
Bat = Bird + Vampire
Batman = Bat + Man
Beach = Water + Sand
Bear = Beast + Forest
Beast = Earth + Lizard
Beaver = Dam + Beast
Bee = Flower + Beetle
Beer = Alcohol + Wheat
Beetle = Earth + Worm
Beetroot = Sugar + Seed
Belarus = Tractor + Country
Berry = Grass + Fruit
Bicycle = Wheel + Wheel
Bird = Air + Egg
Bitumen = Kerogen + Pressure
Blood = Beast + Hunter
Boat = Wood + Water
Boiler = Metal + Steam
Book = Feather + Paper
Borscht = Beetroot + Fire
Bow = Robin Hood + Arms
Bread = Dough + Fire
Brick = Clay + Fire
Brick House = Brick + Concrete
Butterfly = Air + Worm
C-3PO = Gold + Robot
Cactus = Desert + Tree
Camel = Desert + Beast
Cancer = Man + Tobacco
Car = Cart + Combustion Engine
Caramel = Sugar + Fire
Carbon Dioxide = Oxygen + Man
Carmine = Cochineal + Fire
Cart = Wheel + Wood
Cat = Mouse + Hunter
Catdog = Cat + Dog
Caviar = Fish + Fish
Caviar = Fish + Egg
Cement = Clay + Limestone
Cemetery = Grave + Grave
Ceramics = Clay + Man
Champagne = Soda Water + Wine
Chariot = Warrior + Cart
Cheese = Quark + Fire
Chicken = Egg + Life
China = Dragon + Country
Chocolate = Cocoa + Sugar
Christmas Tree = Tree + Light Bulb
Cigarettes = Paper + Tobacco
City = Skyscraper + Skyscraper
Clay = Sand + Swamp
Clock = Hourglass + Electricity
Cloth = Tool + Wool
Clothing = Cloth + Man
Cloud = Air + Steam
Coal = Fire + Tree
Coca-cola = Soda Water + Carmine
Cochineal = Cactus + Beetle
Cocoa = Seed + Mexico
Coffin = Corpse + Wood
Coin = Silver + Pressure
Coin = Mario + Brick
Combustion Engine = Steam Engine + Gasoline
Concrete = Cement + Water
Continent = Country + Country
Copper = Silver + Gold
Corpse = Fire + Man
Country = City + City
Crop Circles = Ufo + Arable
Dam = Water + Brick
Desert = Sand + Sand
Diamond = Uncut Diamond + Tool
Diet = Man + Yogurt
Dilemma = Egg + Chicken
Dinosaur = Earth + Egg
